,Collisions_CONTRIBUTING FACTOR VEHICLE 1,Collisions_VEHICLE TYPE CODE 1,Collisions_VEHICLE TYPE CODE 2,Collisions_VEHICLE TYPE CODE 3,Arrests_PD_DESC,Arrests_AGE_GROUP,Arrests_PERP_SEX,Arrests_PERP_RACE,Complaint_LAW_CAT_CD,Complaint_PD_DESC,Complaint_PREM_TYP_DESC,Complaint_SUSP_AGE_GROUP,Complaint_SUSP_RACE,Complaint_SUSP_SEX,Complaint_VIC_AGE_GROUP,Complaint_VIC_RACE,Complaint_VIC_SEX,Shooting_LOCATION_DESC,Shooting_STATISTICAL_MURDER_FLAG,Shooting_PERP_AGE_GROUP,Shooting_PERP_SEX,Shooting_PERP_RACE,Shooting_VIC_AGE_GROUP,Shooting_VIC_SEX,Shooting_VIC_RACE,sector index
1217,Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:BLACK,FELONY,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:M,Complaint Victim's Age:<18,Complaint Victim's Race:WHITE HISPANIC,Complaint Victim's Sex:F,,Shooting murdered:False,Shooting Perpetrator's Age:45-64,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:WHITE,Shooting Victim's Age:25-44,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK HISPANIC,3000< sector_no <=3500
1218,Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,"CONTROLLED SUBSTANCE, POSSESSION 7",arrested age:25-44,arrested gender:M,arrested race:WHITE HISPANIC,MISDEMEANOR,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE,Complaint Victim's Sex:F,Shooting Location:MULTI DWELL - PUBLIC HOUS,Shooting murdered:False,Shooting Perpetrator's Age:18-24,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:25-44,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK,3000< sector_no <=3500
1219,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:BLACK,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:45-64,Complaint Victim's Race:UNKNOWN,Complaint Victim's Sex:M,Shooting Location:MULTI DWELL - PUBLIC HOUS,Shooting murdered:False,Shooting Perpetrator's Age:18-24,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:18-24,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK,3000< sector_no <=3500
1220,Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:WHITE,VIOLATION,"HARASSMENT,SUBD 3,4,5",COMMERCIAL BUILDING,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE,Complaint Victim's Sex:F,,,,,,,,,3000< sector_no <=3500
1221,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",arrested age:25-44,arrested gender:M,arrested race:WHITE,FELONY,RAPE 1,STREET,Complaint Suspect's Age:25-44,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:M,Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE,Complaint Victim's Sex:F,Shooting Location:GAS STATION,Shooting murdered:False,Shooting Perpetrator's Age:45-64,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK HISPANIC,Shooting Victim's Age:25-44,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK,3000< sector_no <=3500
1222,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:WHITE,VIOLATION,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:25-44,Complaint Suspect's Race:WHITE,Complaint Suspect's Sex:F,Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE,Complaint Victim's Sex:F,,,,,,,,,3000< sector_no <=3500
1223,Backing Unsafely,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"INTOXICATED DRIVING,ALCOHOL",arrested age:25-44,arrested gender:M,arrested race:WHITE,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:(null),Complaint Suspect's Race:(null),Complaint Suspect's Sex:(null),Complaint Victim's Age:65+,Complaint Victim's Race:WHITE,Complaint Victim's Sex:M,,,,,,,,,3000< sector_no <=3500
1224,Driver Inattention/Distraction,PASSENGER VEHICLE,Sedan,PASSENGER VEHICLE,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",arrested age:25-44,arrested gender:M,arrested race:WHITE HISPANIC,,,,,,,,,,,Shooting murdered:False,,,,Shooting Victim's Age:18-24,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK,3000< sector_no <=3500
1225,Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,"TRAFFIC,UNCLASSIFIED MISDEMEAN",arrested age:25-44,arrested gender:M,arrested race:BLACK,,,,,,,,,,,,,,,,,,3000< sector_no <=3500
1226,Driver Inattention/Distraction,PASSENGER VEHICLE,Sedan,Sedan,"INTOXICATED DRIVING,ALCOHOL",arrested age:25-44,arrested gender:M,arrested race:BLACK,FELONY,"BURGLARY,COMMERCIAL,DAY",STORAGE FACILITY,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:UNKNOWN,Complaint Victim's Race:UNKNOWN,Complaint Victim's Sex:D,,,,,,,,,3000< sector_no <=3500
1227,Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"INTOXICATED DRIVING,ALCOHOL",arrested age:25-44,arrested gender:M,arrested race:WHITE HISPANIC,VIOLATION,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:25-44,Complaint Suspect's Race:WHITE,Complaint Suspect's Sex:M,Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE,Complaint Victim's Sex:M,,Shooting murdered:False,Shooting Perpetrator's Age:25-44,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:25-44,Shooting Victim's Sex:M,Shooting Victim's Race:WHITE,3000< sector_no <=3500
1228,Following Too Closely,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:WHITE,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE-HOUSE,Complaint Suspect's Age:(null),Complaint Suspect's Race:(null),Complaint Suspect's Sex:(null),Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE,Complaint Victim's Sex:M,,,,,,,,,3000< sector_no <=3500
1229,Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:WHITE,MISDEMEANOR,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,Complaint Suspect's Age:25-44,Complaint Suspect's Race:BLACK,Complaint Suspect's Sex:F,Complaint Victim's Age:25-44,Complaint Victim's Race:BLACK,Complaint Victim's Sex:M,,Shooting murdered:False,,,,Shooting Victim's Age:18-24,Shooting Victim's Sex:M,Shooting Victim's Race:WHITE HISPANIC,3000< sector_no <=3500
1230,Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:WHITE HISPANIC,MISDEMEANOR,FALSE REPORT BOMB,RESIDENCE-HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:UNKNOWN,Complaint Victim's Race:UNKNOWN,Complaint Victim's Sex:F,,,,,,,,,3000< sector_no <=3500
1231,Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:WHITE,FELONY,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",RESIDENCE-HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:25-44,Complaint Victim's Race:ASIAN / PACIFIC ISLANDER,Complaint Victim's Sex:M,,,,,,,,,3000< sector_no <=3500
1232,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,Sedan,"TRAFFIC,UNCLASSIFIED MISDEMEAN",arrested age:25-44,arrested gender:M,arrested race:WHITE,VIOLATION,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:WHITE HISPANIC,Complaint Suspect's Sex:F,Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE HISPANIC,Complaint Victim's Sex:M,,,,,,,,,3000< sector_no <=3500
1233,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",arrested age:25-44,arrested gender:M,arrested race:WHITE,MISDEMEANOR,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE,Complaint Victim's Sex:F,,Shooting murdered:False,,,,Shooting Victim's Age:25-44,Shooting Victim's Sex:M,Shooting Victim's Race:WHITE,3000< sector_no <=3500
1234,Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:WHITE,MISDEMEANOR,OBSTR BREATH/CIRCUL,RESIDENCE - APT. HOUSE,Complaint Suspect's Age:45-64,Complaint Suspect's Race:ASIAN / PACIFIC ISLANDER,Complaint Suspect's Sex:M,Complaint Victim's Age:25-44,Complaint Victim's Race:ASIAN / PACIFIC ISLANDER,Complaint Victim's Sex:M,,Shooting murdered:False,Shooting Perpetrator's Age:<18,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:ASIAN / PACIFIC ISLANDER,Shooting Victim's Age:<18,Shooting Victim's Sex:M,Shooting Victim's Race:WHITE,3000< sector_no <=3500
1235,Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,arrested age:<18,arrested gender:M,arrested race:WHITE,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",STREET,Complaint Suspect's Age:(null),Complaint Suspect's Race:(null),Complaint Suspect's Sex:(null),Complaint Victim's Age:45-64,Complaint Victim's Race:WHITE,Complaint Victim's Sex:M,,,,,,,,,3000< sector_no <=3500
1236,Following Too Closely,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,"INTOXICATED DRIVING,ALCOHOL",arrested age:25-44,arrested gender:M,arrested race:WHITE HISPANIC,,,,,,,,,,,,,,,,,,3000< sector_no <=3500
1237,Driver Inattention/Distraction,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",arrested age:25-44,arrested gender:M,arrested race:WHITE,,,,,,,,,,,,,,,,,,3000< sector_no <=3500
1238,Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:WHITE,MISDEMEANOR,"LARCENY,PETIT FROM AUTO",STREET,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:BLACK,Complaint Suspect's Sex:U,Complaint Victim's Age:UNKNOWN,Complaint Victim's Race:BLACK,Complaint Victim's Sex:M,,,,,,,,,3000< sector_no <=3500
1239,Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,"MARIJUANA, POSSESSION 4 & 5",arrested age:25-44,arrested gender:M,arrested race:BLACK,MISDEMEANOR,ASSAULT 3,RESIDENCE-HOUSE,Complaint Suspect's Age:25-44,Complaint Suspect's Race:WHITE,Complaint Suspect's Sex:U,Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE,Complaint Victim's Sex:M,Shooting Location:MULTI DWELL - PUBLIC HOUS,Shooting murdered:False,Shooting Perpetrator's Age:25-44,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:25-44,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK,3000< sector_no <=3500
1240,Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Sedan,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:BLACK,FELONY,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:M,Complaint Victim's Age:25-44,Complaint Victim's Race:ASIAN / PACIFIC ISLANDER,Complaint Victim's Sex:F,,Shooting murdered:False,,,,Shooting Victim's Age:18-24,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK HISPANIC,3000< sector_no <=3500
1241,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:ASIAN / PACIFIC ISLANDER,FELONY,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE-HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:65+,Complaint Victim's Race:WHITE,Complaint Victim's Sex:F,,,,,,,,,3000< sector_no <=3500
1242,Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,"TRAFFIC,UNCLASSIFIED MISDEMEAN",arrested age:25-44,arrested gender:M,arrested race:BLACK,,,,,,,,,,,,,,,,,,3000< sector_no <=3500
1243,Driver Inattention/Distraction,Sedan,Sedan,PASSENGER VEHICLE,"TRAFFIC,UNCLASSIFIED MISDEMEAN",arrested age:25-44,arrested gender:M,arrested race:BLACK,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",STORE UNCLASSIFIED,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:UNKNOWN,Complaint Victim's Race:UNKNOWN,Complaint Victim's Sex:D,,Shooting murdered:False,Shooting Perpetrator's Age:25-44,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:25-44,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK,3000< sector_no <=3500
1244,Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,"TRAFFIC,UNCLASSIFIED MISDEMEAN",arrested age:25-44,arrested gender:M,arrested race:WHITE,,,,,,,,,,,,,,,,,,3000< sector_no <=3500
1245,Driver Inattention/Distraction,Sedan,Sedan,PASSENGER VEHICLE,"TRAFFIC,UNCLASSIFIED INFRACTION",arrested age:25-44,arrested gender:M,arrested race:ASIAN / PACIFIC ISLANDER,,,,,,,,,,,,,,,,,,3000< sector_no <=3500
1246,Driver Inattention/Distraction,Sedan,Sedan,Sedan,"INTOXICATED DRIVING,ALCOHOL",arrested age:25-44,arrested gender:M,arrested race:BLACK,,,,,,,,,,,,,,,,,,3000< sector_no <=3500
1247,Following Too Closely,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,"INTOXICATED DRIVING,ALCOHOL",arrested age:25-44,arrested gender:M,arrested race:BLACK,,,,,,,,,,,,,,,,,,3000< sector_no <=3500
1248,Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:BLACK,,,,,,,,,,,,,,,,,,3000< sector_no <=3500
1249,Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",arrested age:25-44,arrested gender:M,arrested race:BLACK,FELONY,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",RESIDENCE-HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:45-64,Complaint Victim's Race:ASIAN / PACIFIC ISLANDER,Complaint Victim's Sex:F,,,,,,,,,3000< sector_no <=3500
1250,Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:BLACK,MISDEMEANOR,"SEXUAL ABUSE 3,2",RESIDENCE-HOUSE,Complaint Suspect's Age:25-44,Complaint Suspect's Race:BLACK,Complaint Suspect's Sex:M,Complaint Victim's Age:<18,Complaint Victim's Race:BLACK,Complaint Victim's Sex:F,,,,,,,,,3000< sector_no <=3500
1251,Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:WHITE,FELONY,PROMOTING A SEXUAL PERFORMANCE,RESIDENCE - APT. HOUSE,Complaint Suspect's Age:25-44,Complaint Suspect's Race:BLACK,Complaint Suspect's Sex:M,Complaint Victim's Age:UNKNOWN,Complaint Victim's Race:UNKNOWN,Complaint Victim's Sex:E,,,,,,,,,3000< sector_no <=3500
1252,Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:ASIAN / PACIFIC ISLANDER,,,,,,,,,,,,,,,,,,3000< sector_no <=3500
1253,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,PASSENGER VEHICLE,PROSTITUTION,arrested age:25-44,arrested gender:M,arrested race:WHITE,MISDEMEANOR,UNAUTHORIZED USE VEHICLE 2,CHAIN STORE,Complaint Suspect's Age:45-64,Complaint Suspect's Race:BLACK,Complaint Suspect's Sex:M,Complaint Victim's Age:UNKNOWN,Complaint Victim's Race:UNKNOWN,Complaint Victim's Sex:D,,,,,,,,,3000< sector_no <=3500
1254,Traffic Control Disregarded,Sedan,Sedan,,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",arrested age:25-44,arrested gender:M,arrested race:WHITE,,,,,,,,,,,,,,,,,,3000< sector_no <=3500
1255,Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Sedan,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:BLACK,FELONY,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:45-64,Complaint Victim's Race:WHITE,Complaint Victim's Sex:F,,,,,,,,,3000< sector_no <=3500
1256,Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,PASSENGER VEHICLE,"THEFT OF SERVICES, UNCLASSIFIED",arrested age:25-44,arrested gender:M,arrested race:BLACK,MISDEMEANOR,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:M,Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE,Complaint Victim's Sex:F,Shooting Location:MULTI DWELL - APT BUILD,Shooting murdered:False,Shooting Perpetrator's Age:25-44,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:25-44,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK,3000< sector_no <=3500
1257,Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,PASSENGER VEHICLE,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",arrested age:25-44,arrested gender:M,arrested race:BLACK,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:65+,Complaint Victim's Race:WHITE,Complaint Victim's Sex:F,,Shooting murdered:False,Shooting Perpetrator's Age:25-44,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:25-44,Shooting Victim's Sex:M,Shooting Victim's Race:WHITE,3000< sector_no <=3500
1258,Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",arrested age:25-44,arrested gender:M,arrested race:BLACK,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:65+,Complaint Victim's Race:WHITE,Complaint Victim's Sex:F,Shooting Location:BAR/NIGHT CLUB,Shooting murdered:True,Shooting Perpetrator's Age:25-44,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:25-44,Shooting Victim's Sex:F,Shooting Victim's Race:BLACK,3000< sector_no <=3500
1259,Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,"THEFT OF SERVICES, UNCLASSIFIED",arrested age:25-44,arrested gender:M,arrested race:BLACK,MISDEMEANOR,"CRIMINAL MISCHIEF 4TH, GRAFFIT",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:WHITE,Complaint Suspect's Sex:M,Complaint Victim's Age:25-44,Complaint Victim's Race:UNKNOWN,Complaint Victim's Sex:F,,,,,,,,,3000< sector_no <=3500
1260,Driver Inattention/Distraction,Sedan,Sedan,PASSENGER VEHICLE,"TRAFFIC,UNCLASSIFIED MISDEMEAN",arrested age:25-44,arrested gender:M,arrested race:WHITE,FELONY,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE,Complaint Victim's Sex:M,,,,,,,,,3000< sector_no <=3500
1261,Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:WHITE HISPANIC,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE,Complaint Victim's Sex:F,,Shooting murdered:False,Shooting Perpetrator's Age:18-24,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK HISPANIC,Shooting Victim's Age:18-24,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK HISPANIC,3000< sector_no <=3500
1262,Failure to Yield Right-of-Way,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,"TRAFFIC,UNCLASSIFIED MISDEMEAN",arrested age:25-44,arrested gender:M,arrested race:WHITE,FELONY,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:ASIAN / PACIFIC ISLANDER,Complaint Suspect's Sex:M,Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE,Complaint Victim's Sex:M,,,,,,,,,3000< sector_no <=3500
1263,Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,"TRESPASS 3, CRIMINAL",arrested age:25-44,arrested gender:M,arrested race:WHITE,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",BANK,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:M,Complaint Victim's Age:UNKNOWN,Complaint Victim's Race:UNKNOWN,Complaint Victim's Sex:D,,,,,,,,,3000< sector_no <=3500
1264,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:WHITE HISPANIC,FELONY,UNAUTHORIZED USE VEHICLE 2,STREET,Complaint Suspect's Age:45-64,Complaint Suspect's Race:BLACK,Complaint Suspect's Sex:M,Complaint Victim's Age:45-64,Complaint Victim's Race:ASIAN / PACIFIC ISLANDER,Complaint Victim's Sex:F,,Shooting murdered:False,,,,Shooting Victim's Age:25-44,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK HISPANIC,3000< sector_no <=3500
1265,Driver Inattention/Distraction,Sedan,Sedan,Sedan,"CRIMINAL MISCHIEF 4TH, GRAFFIT",arrested age:25-44,arrested gender:M,arrested race:WHITE HISPANIC,,,,,,,,,,,,,,,,,,3000< sector_no <=3500
1266,Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:WHITE HISPANIC,FELONY,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE-HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:U,Complaint Victim's Age:45-64,Complaint Victim's Race:WHITE HISPANIC,Complaint Victim's Sex:M,,,,,,,,,3000< sector_no <=3500
1267,Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,"INTOXICATED DRIVING,ALCOHOL",arrested age:25-44,arrested gender:M,arrested race:WHITE HISPANIC,,,,,,,,,,,,,,,,,,3000< sector_no <=3500
1268,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,"TRAFFIC,UNCLASSIFIED MISDEMEAN",arrested age:25-44,arrested gender:M,arrested race:WHITE HISPANIC,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UN",COMMERCIAL BUILDING,Complaint Suspect's Age:(null),Complaint Suspect's Race:(null),Complaint Suspect's Sex:(null),Complaint Victim's Age:UNKNOWN,Complaint Victim's Race:UNKNOWN,Complaint Victim's Sex:D,,Shooting murdered:False,Shooting Perpetrator's Age:25-44,shooting Perpetrator's Sex:M,Shooting Perpetrator's Race:BLACK,Shooting Victim's Age:18-24,Shooting Victim's Sex:M,Shooting Victim's Race:BLACK,3000< sector_no <=3500
