,sector laitude,sector longtitude,Collisions_NUMBER OF PERSONS INJURED,Collisions_NUMBER OF PERSONS KILLED,Collisions_NUMBER OF PEDESTRIANS INJURED,Collisions_NUMBER OF PEDESTRIANS KILLED,Collisions_NUMBER OF CYCLIST INJURED,Collisions_NUMBER OF CYCLIST KILLED,Collisions_NUMBER OF MOTORIST INJURED,Collisions_NUMBER OF MOTORIST KILLED,Collisions_CONTRIBUTING FACTOR VEHICLE 1,Collisions_CONTRIBUTING FACTOR VEHICLE 2,Collisions_CONTRIBUTING FACTOR VEHICLE 3,Collisions_CONTRIBUTING FACTOR VEHICLE 4,Collisions_CONTRIBUTING FACTOR VEHICLE 5,Collisions_VEHICLE TYPE CODE 1,Collisions_VEHICLE TYPE CODE 2,Collisions_VEHICLE TYPE CODE 3,Collisions_VEHICLE TYPE CODE 4,Collisions_VEHICLE TYPE CODE 5
225,40.62016,-74.0915791,0.24666666666666667,0.0011111111111111111,0.044444444444444446,0.0,0.015555555555555555,0.0,0.18666666666666668,0.0011111111111111111,Driver Inattention/Distraction,Driver Inattention/Distraction,Following Too Closely,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan
226,40.62016,-74.08041424,0.2890879478827362,0.0024429967426710096,0.06758957654723127,0.0024429967426710096,0.02687296416938111,0.0,0.19462540716612378,0.0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inexperience,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle
227,40.62016,-74.04691966,0.36363636363636365,0.0,0.042283298097251586,0.0,0.016913319238900635,0.0,0.3023255813953488,0.0,Driver Inattention/Distraction,Driver Inattention/Distraction,Following Too Closely,Fatigued/Drowsy,Unspecified,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,PASSENGER VEHICLE
228,40.62016,-74.0357548,0.2424355621964886,0.0007471049682480389,0.08031378408666418,0.0007471049682480389,0.03287261860291371,0.0,0.12850205453866267,0.0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,Obstruction/Debris,Fell Asleep,Fell Asleep,Sedan,Sedan,Sedan,Sedan,Sedan
229,40.62016,-74.02458994,0.2740963855421687,0.0015060240963855422,0.04932228915662651,0.00037650602409638556,0.023343373493975902,0.0,0.2006777108433735,0.0011295180722891566,Driver Inattention/Distraction,Failure to Yield Right-of-Way,Fatigued/Drowsy,Fell Asleep,Unspecified,Sedan,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle
230,40.62016,-74.01342508,0.2766990291262136,0.0010402219140083217,0.061373092926490985,0.0006934812760055479,0.022538141470180306,0.0,0.19070735090152566,0.00034674063800277393,Driver Inattention/Distraction,Driver Inattention/Distraction,Fell Asleep,Fell Asleep,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan
231,40.62016,-74.00226022,0.28055022392834295,0.0012795905310300703,0.07229686500319897,0.0006397952655150352,0.036788227767114524,0.0003198976327575176,0.16858605246321176,0.0003198976327575176,Driver Inattention/Distraction,Driver Inattention/Distraction,Other Vehicular,Other Vehicular,Other Vehicular,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan
232,40.62016,-73.99109536,0.2711698482623593,0.0014684287812041115,0.08223201174743025,0.0004894762604013706,0.0548213411649535,0.0009789525208027412,0.12971120900636318,0.0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inexperience,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle
233,40.62016,-73.9799305,0.2732494529540481,0.0005470459518599562,0.05196936542669584,0.0,0.0325492341356674,0.0002735229759299781,0.187636761487965,0.0002735229759299781,Driver Inattention/Distraction,Driver Inattention/Distraction,Fatigued/Drowsy,Unspecified,Unspecified,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan
234,40.62016,-73.96876564,0.26449412656309207,0.0015157256536566881,0.07919666540356196,0.0011367942402425162,0.034103827207275485,0.0,0.14588859416445624,0.00037893141341417203,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,Sedan,Sedan,Sedan,PASSENGER VEHICLE,PASSENGER VEHICLE
